grade,atrisk,at_risk_3,read_scale_score,ell_indicator,math_scale_score
4,1,2,1.456496927,No,2.430155708
4,1,2,1.456496927,No,1.352352951
6,0,0,-0.10547385,No,1.358048356
6,0,0,-0.10547385,No,1.820906393
5,0,0,-0.008716919,No,1.358048356
5,0,0,-0.008716919,No,1.820906393
7,0,0,0.126487299,No,-0.05917214
7,0,0,0.126487299,No,0.058473866
8,0,0,0.113284615,No,-0.05917214
8,0,0,0.113284615,No,0.058473866
10,1,2,0.368929696,No,0.563414633
6,1,2,-0.28824309,No,0.279627615
6,1,2,-0.28824309,No,0.042999109
7,1,2,-0.176189903,No,0.279627615
7,1,2,-0.176189903,No,0.042999109
6,1,2,0.342469541,No,-0.370213466
8,1,2,-0.34534707,No,0.40285899
11,1,2,-1.319107764,No,-0.176830975
3,0,0,1.617884737,No,2.432910879
7,1,2,0.421376692,No,0.213411192
7,1,2,0.421376692,No,-0.020270362
6,1,2,0.541103104,No,0.213411192
6,1,2,0.541103104,No,-0.020270362
6,1,2,0.491784004,No,0.418940731
6,1,2,0.491784004,No,1.049430173
5,1,2,0.691134715,No,0.418940731
5,1,2,0.691134715,No,1.049430173
10,0,0,-0.116430282,No,-0.393928787
10,1,2,0.442322629,No,-0.670328046
7,0,0,0.165276723,No,-0.39988719
7,0,0,0.165276723,No,0.080978346
6,0,0,-0.371177709,No,-0.39988719
6,0,0,-0.371177709,No,0.080978346
3,1,2,0.334661067,No,0.431230139
3,0,0,-1.590174438,No,-0.826969183
3,1,2,0.976272902,No,0.831566287
6,1,2,-1.299989559,No,-0.370213466
5,1,2,0.600911011,No,0.533254054
4,1,2,1.141459203,No,0.533254054
3,0,0,0.976272902,No,1.0603298
10,1,2,-1.098928965,No,-2.089132128
8,1,2,0.298546024,No,0.54444856
10,0,1,0.921387278,No,-0.073226146
10,1,2,-0.531557307,No,-0.586350371
10,1,2,-1.098928965,No,-1.472260788
5,0,0,1.097603863,No,1.891108171
5,0,0,1.097603863,No,1.330288922
4,0,0,0.779626316,No,1.891108171
4,0,0,0.779626316,No,1.330288922
4,0,0,1.678602327,No,0.961352515
4,0,0,1.678602327,No,0.479135938
3,0,0,0.815874708,No,0.961352515
3,0,0,0.815874708,No,0.479135938
4,0,0,2.715094195,No,1.829281674
4,0,0,2.715094195,No,1.992712093
3,0,0,1.095882569,No,1.829281674
3,0,0,1.095882569,No,1.992712093
6,1,2,-1.673275719,No,-0.864002558
6,1,2,-1.673275719,No,-1.174202066
5,0,0,-1.563942771,No,-0.864002558
5,0,0,-1.563942771,No,-1.174202066
10,1,2,-0.952143099,No,-0.176830975
8,0,0,0.905522215,No,1.453944019
8,0,0,0.905522215,No,1.084247774
7,0,0,0.780533146,No,1.453944019
7,0,0,0.780533146,No,1.084247774
6,1,2,0.209364627,No,-0.020270362
6,1,2,0.209364627,No,-0.250103769
7,1,2,-0.346923216,No,-0.020270362
7,1,2,-0.346923216,No,-0.250103769
8,0,0,-0.124386666,No,-0.851756795
8,0,0,-0.124386666,No,-0.454413088
7,0,0,0.20824303,No,-0.851756795
7,0,0,0.20824303,No,-0.454413088
8,1,2,-0.10388716,No,-0.305088859
5,0,0,-0.63080726,No,-0.090864964
5,0,0,-0.63080726,No,-0.493660739
6,0,0,0.342469541,No,-0.090864964
6,0,0,0.342469541,No,-0.493660739
4,1,2,-0.172276008,No,0.013420198
4,1,2,-0.172276008,No,-0.574214459
3,0,0,0.535866847,No,0.013420198
3,0,0,0.535866847,No,-0.574214459
10,0,1,-1.430999192,No,-2.254004103
10,0,0,-2.122877566,No,-0.778771956
6,0,0,0.790412932,No,-0.12331892
6,0,0,0.790412932,No,-0.154590676
5,0,0,1.079941178,No,-0.12331892
5,0,0,1.079941178,No,-0.154590676
9,0,0,-0.291606702,No,-0.053456707
8,1,2,0.540005935,No,0.332064205
3,0,0,0.535866847,No,0.093423356
3,0,0,0.535866847,No,0.595564873
4,0,0,0.420005059,No,0.093423356
4,0,0,0.420005059,No,0.595564873
4,0,0,0.420005059,No,-0.240395552
